('Calibration Fields_Raw_DN_Signal_980', [18.211859, 101.50805])
('Calibration Fields_Raw_DN_Signal_981', [18.493425, 102.339584])
('Calibration Fields_Raw_DN_Signal_982', [17.9588, 102.11716])
('Calibration Fields_Raw_DN_Signal_983', [16.187017, 102.15503])
('Calibration Fields_Raw_DN_Signal_984', [19.04783, 102.601494])
('Calibration Fields_Raw_DN_Signal_985', [19.842459, 101.67967])
('Calibration Fields_Raw_DN_Signal_986', [19.20058, 101.73377])
('Calibration Fields_Raw_DN_Signal_987', [21.213957, 102.31186])
('Calibration Fields_Raw_DN_Signal_988', [20.32669, 101.3641])
('Calibration Fields_Raw_DN_Signal_989', [20.080677, 101.40647])
('Calibration Fields_Raw_DN_Signal_478', [0.0, 101.9367])
('Calibration Fields_Raw_DN_Signal_776', [0.0, 102.76258])
('Satellite Telemetry Data_Conditon_monitor_30', [0.0, 13.003064])
('Calibration Fields_Raw_DN_Signal_749', [0.0, 102.06991])
('Calibration Fields_Raw_DN_Signal_852', [0.0, 102.71215])
('Calibration Fields_Raw_DN_Signal_853', [0.0, 101.11211])
('Calibration Fields_Raw_DN_Signal_850', [0.0, 102.08121])
('Calibration Fields_Raw_DN_Signal_851', [0.0, 102.75872])
('Calibration Fields_Raw_DN_Signal_856', [0.0, 100.24749])
('Calibration Fields_Raw_DN_Signal_857', [20.533186, 100.67641])
('Calibration Fields_Raw_DN_Signal_854', [0.0, 102.7895])
('Calibration Fields_Raw_DN_Signal_855', [0.0, 101.43012])
('Calibration Fields_Raw_DN_Signal_913', [21.238516, 101.26723])
('Calibration Fields_Raw_DN_Signal_912', [19.441742, 102.5207])
('Calibration Fields_Raw_DN_Signal_858', [14.191293, 104.128044])
('Calibration Fields_Raw_DN_Signal_859', [21.027338, 102.71215])
('Calibration Fields_Raw_DN_Signal_917', [21.702618, 101.33205])
('Calibration Fields_Raw_DN_Signal_916', [18.508759, 99.70185])
('Calibration Fields_Raw_DN_Signal_915', [21.010164, 102.708244])
('Calibration Fields_Raw_DN_Signal_914', [18.706964, 103.205864])
('Calibration Fields_Raw_DN_Signal_218', [20.704996, 114.54146])
('Calibration Fields_Raw_DN_Signal_219', [0.0, 114.48787])
('Calibration Fields_Raw_DN_Signal_564', [0.0, 114.50855])
('Calibration Fields_Raw_DN_Signal_565', [0.0, 113.63086])
('Calibration Fields_Raw_DN_Signal_562', [0.0, 114.52092])
('Calibration Fields_Raw_DN_Signal_563', [0.0, 113.71839])
('Calibration Fields_Raw_DN_Signal_560', [0.0, 114.95911])
('Calibration Fields_Raw_DN_Signal_561', [0.0, 113.23986])
('Calibration Fields_Raw_DN_Signal_210', [22.537619, 102.77029])
('Calibration Fields_Raw_DN_Signal_211', [19.777237, 111.46926])
('Calibration Fields_Raw_DN_Signal_212', [20.618763, 114.89538])
('Calibration Fields_Raw_DN_Signal_213', [19.967304, 114.75725])
('Calibration Fields_Raw_DN_Signal_214', [23.045444, 114.966545])
('Calibration Fields_Raw_DN_Signal_215', [20.059309, 114.91045])
('Calibration Fields_Raw_DN_Signal_216', [21.105898, 114.75335])
('Calibration Fields_Raw_DN_Signal_217', [19.61421, 114.37227])
('Calibration Fields_Raw_DN_Signal_764', [0.0, 101.04389])
('Calibration Fields_Raw_DN_Signal_765', [0.0, 103.58578])
('Calibration Fields_Raw_DN_Signal_766', [0.0, 105.00952])
('Calibration Fields_Raw_DN_Signal_767', [0.0, 105.22918])
('Calibration Fields_Raw_DN_Signal_409', [0.0, 114.96283])
('Calibration Fields_Raw_DN_Signal_408', [0.0, 114.98878])
('Calibration Fields_Raw_DN_Signal_762', [0.0, 103.100105])
('Calibration Fields_Raw_DN_Signal_763', [0.0, 103.089386])
('Calibration Fields_Raw_DN_Signal_405', [0.0, 103.43976])
('Calibration Fields_Raw_DN_Signal_404', [0.0, 103.02814])
('Calibration Fields_Raw_DN_Signal_407', [0.0, 103.29207])
('Calibration Fields_Raw_DN_Signal_406', [0.0, 103.45951])
('Calibration Fields_Raw_DN_Signal_401', [0.0, 114.0058])
('Calibration Fields_Raw_DN_Signal_400', [0.0, 114.437805])
('Calibration Fields_Raw_DN_Signal_403', [0.0, 101.79926])
('Calibration Fields_Raw_DN_Signal_402', [0.0, 103.45951])
('Calibration Fields_FM_lockState', [0, 255])
('Calibration Fields_Raw_DN_Signal_351', [0.0, 114.90292])
('Calibration Fields_Raw_DN_Signal_350', [0.0, 113.61821])
('Calibration Fields_Raw_DN_Signal_353', [0.0, 114.50855])
('Calibration Fields_Raw_DN_Signal_352', [0.0, 114.52092])
('Calibration Fields_Raw_DN_Signal_355', [0.0, 114.46708])
('Calibration Fields_Raw_DN_Signal_354', [0.0, 113.92628])
('Calibration Fields_Raw_DN_Signal_357', [0.0, 102.3924])
('Calibration Fields_Raw_DN_Signal_356', [0.0, 114.05419])
('Calibration Fields_Raw_DN_Signal_359', [0.0, 102.869255])
('Calibration Fields_Raw_DN_Signal_358', [0.0, 100.87745])
('Calibration Fields_Raw_DN_Signal_477', [0.0, 102.75486])
('Calibration Fields_Raw_DN_Signal_324', [20.2913, 114.389275])
('Calibration Fields_Raw_DN_Signal_325', [21.383026, 114.46708])
('Calibration Fields_Raw_DN_Signal_326', [20.157265, 114.05419])
('Calibration Fields_Raw_DN_Signal_327', [0.0, 102.32468])
('Calibration Fields_Raw_DN_Signal_320', [16.71809, 113.62327])
